"Pax6" "Mash1" "Zic1" "Brn2" "Tuj1" "Hes5" "Scl" "Olig2" "Stat3" "Aldh1L" "Myt1L" "Sox8"
"cell_21" 6.0178357192506 0.742302088157328 0.0018671611247131 -0.0677143687665729 -0.0208573369835219 0.727892923163848 0.117084917653808 0.0513619958682257 0.00527679835802621 0.0158087801275485 0.0290423176048968 -0.0266380718960816
"cell_22" 6.03150242709869 0.777601369682979 0.0236091062108104 -0.0629557175227647 -0.0213149072306041 0.74814479320845 0.135416666959457 0.0651141493550933 -0.0218111441432479 0.0276460897727836 0.0373542495215838 -0.0226058244274238
"cell_23" 6.03467296348754 0.810502005425814 0.041020104042789 -0.0520659388218727 -0.0139263291174261 0.783505470268186 0.150477997314742 0.0777492054743319 -0.0226604982724723 0.0230998821770935 0.043182856257873 -0.0219171100216717
"cell_24" 6.03425223638367 0.85874040262508 0.0681464143584345 -0.0509267032573635 -0.0243676702246102 0.814888355373954 0.164714935227665 0.0963707057118327 -0.0209953818905161 0.0140687790575581 0.0272591100865055 -0.0249492659322788
"cell_25" 6.0073138824899 0.904010993333324 0.0759985821083154 -0.0425405558448012 -0.0167321026334138 0.843964287165717 0.165170412180643 0.112083077070688 -0.00895201109992944 0.00184288961274186 0.0186632661957682 -0.0181142674715472
"cell_26" 6.01371849192971 0.925517730575251 0.0804848229084929 -0.0529527853082609 -0.0250356710677274 0.867551021713522 0.165326637183637 0.118307465744322 -0.0111466440327048 -0.00496601854363196 0.0127382029014361 -0.018157153734496
"cell_27" 6.00650088149978 0.952330723745402 0.0932340491449702 -0.0579745106067996 -0.00647802054937408 0.876267832453166 0.157301333667054 0.121188217980129 -0.0115243623479454 -0.00930997948143007 0.015178267838187 -0.00887563139177476
"cell_28" 5.9992689897383 0.986349532973557 0.108928145814695 -0.0789602745404443 0.00242977027803949 0.907053270801787 0.161147182016238 0.118783318786111 -0.00372483168089736 -0.00772577446283298 0.00772555188428608 -0.000738038854978975
"cell_29" 6.00973660665334 1.02007968349619 0.123726830011055 -0.0874542967469629 0.00063977059139324 0.937112499684265 0.19033757989467 0.139636406915803 -0.0267581041867152 -0.00899638959115959 0.00861882674881588 -0.011872834544519
"cell_30" 5.99619055111311 1.03604676584189 0.133643757089985 -0.0933029724893539 -0.0130456435229204 0.959676955564847 0.201349511979743 0.150201802697982 -0.0467182528720801 -0.0109902604213865 0.026241268109229 -0.0151881825067788
"cell_31" 6.00808236046246 1.05718661577775 0.156949219687059 -0.100265291362911 -0.0189728986283519 1.00581667628725 0.22521067951759 0.182390295923582 -0.0524679420643327 -0.00690477799191207 0.0275905690223821 -0.0147959683098057
"cell_32" 5.99013540041636 1.09660031063346 0.172282311270873 -0.110628405420088 -0.0200484030243328 1.03334774118308 0.237633728463968 0.216374683623648 -0.0642434199129899 -0.00270544262321202 0.0397887934518443 -0.00493806483800846
"cell_33" 5.99605753295602 1.12351177431531 0.19725674149036 -0.100219726996693 -0.00650371351865563 1.04854573897806 0.256958257104727 0.228265957145234 -0.0817755922468382 -0.022590291105228 0.0402815965068114 0.00376975946663547
"cell_34" 5.99149392657478 1.14494184490622 0.226076444942359 -0.0918694001020412 -0.0168372726228249 1.07906338860622 0.274554663228522 0.254394482320276 -0.0725939475317899 -0.0379640811760062 0.0265691337767369 0.00427351292330033
"cell_35" 5.99317845818324 1.15152013739517 0.251223393471642 -0.100312684622171 -0.0172343690151725 1.10470928509696 0.284755193313809 0.28183914555871 -0.0647227305636448 -0.0201353485734469 0.0288706909499598 0.01114357266821
"cell_36" 5.98953802112202 1.17060269574274 0.261732538634868 -0.110478561558786 -0.0152213181717395 1.13052644066702 0.288853475076064 0.308835735911491 -0.0556273264105352 -0.0186281628606902 0.0189879756477285 0.023161145862988
