"Pax6" "Mash1" "Zic1" "Brn2" "Tuj1" "Hes5" "Scl" "Olig2" "Stat3" "Aldh1L" "Myt1L" "Sox8"
"cell_30" 5.95905594463025 0.960752407953965 0.127855082489396 0.0177193297843953 0.00462717143055284 1.05310207908981 0.201601130163604 0.239766110723408 0.0298093680774752 0.0760013913008227 -0.0358534820039295 0.0121278035051219
"cell_31" 5.96044551156806 0.987667955664769 0.143965611678259 0.0234873399583618 0.0120623750767285 1.09113257146594 0.209901170374719 0.277846206141985 0.0490152336225334 0.0580620638263845 -0.0315317092191735 0.00350340681878249
"cell_32" 5.93585308346417 1.02886903205991 0.149359668742662 0.0326199060295264 -0.000100659583739492 1.10977737172192 0.223878289682174 0.304808826537152 0.0515035280468989 0.0630689064968285 -0.0431572218740639 -0.00302150881189542
"cell_33" 5.9465739654719 1.04501223137271 0.155381388353488 0.0408776278048872 -0.00315925243854678 1.14398585399962 0.235231883073424 0.320647327292511 0.0483516859341192 0.0637109745522175 -0.051134662369477 0.0082885114551344
"cell_34" 5.93056336896478 1.06017037339578 0.183348750025865 0.0442581058764039 0.00268412052803819 1.18820529171321 0.246188171398501 0.341762266345363 0.0518576559829793 0.0636653439969437 -0.0594246236638137 0.00225503375125837
"cell_35" 5.93571540321336 1.0820884509104 0.212522027514197 0.0508958036576343 0.00837353018943356 1.22409294784495 0.271975639153639 0.354572556242118 0.0460819569977138 0.0658057910099668 -0.0607201627431754 0.0125715460514619
"cell_36" 5.92473517706283 1.12085597463579 0.213446940646881 0.0534627369687183 -0.0229235612507009 1.25009948997667 0.285500894953829 0.368543345830354 0.0399219362085698 0.0676740385597408 -0.0743148843618718 0.0303523502591537
"cell_37" 5.90877064975307 1.16416748513895 0.230050847235872 0.0574305513064933 -0.0233779500097319 1.26961456567821 0.306871420730866 0.38710784599514 0.0501176660271725 0.0577446685101133 -0.0838567407618981 0.0115308605453006
"cell_38" 5.90517797791135 1.17604969405602 0.252364076963688 0.0421546880581924 -0.0212370606002442 1.2999859302414 0.331122118281511 0.41621536417743 0.0390231824473057 0.0658548279492926 -0.0850733123934975 0.0246797513033487
"cell_39" 5.91025660106008 1.19832292439688 0.270108433078505 0.0429029014348918 -0.0217604792352238 1.32100676909706 0.368286078769391 0.449040398021314 0.0357571804320777 0.0462112267933129 -0.0830930340525269 0.0348507936922674
"cell_40" 5.91387852811316 1.22204774491142 0.293790247123122 0.0265374897341392 -0.00860893770560024 1.34162432961005 0.404576585679868 0.470681014116233 0.0307996202542935 0.0583449657644794 -0.0694421671215423 0.0408857855530903
"cell_41" 5.90806578525448 1.24432306569909 0.305455088316042 0.0288215388414056 -0.022121927451672 1.36335357722076 0.420309755369759 0.48711672289146 0.0262678320544313 0.0431527305592759 -0.0617642426268598 0.0407963079943227
"cell_42" 5.92118696913969 1.25816873773793 0.341545757396541 0.024741715213987 0.00268040341109038 1.39260908926547 0.421896103607388 0.537594209899868 0.0229056862136659 0.0623472876108967 -0.068448466278407 0.0326368075808045
"cell_43" 5.92660287126506 1.27840665813673 0.375964484520016 0.0540942634627995 0.00125295633239807 1.42893117936834 0.452878128252327 0.556696401760934 0.0284725178320968 0.0578519668768895 -0.0725241355968355 0.0564310764113406
"cell_44" 5.91158719532974 1.31462965592175 0.387363164821209 0.0646872213907899 -0.0132619581830277 1.45535068308363 0.474084097740144 0.591535744082524 0.0271947425508082 0.0533139585753357 -0.0615549918588563 0.0430806793414055
"cell_45" 5.91014992192593 1.34057324908058 0.405979210389408 0.0602269731843494 -0.00497794978338852 1.47602204782402 0.513809689048892 0.614598878263856 0.0381611559708797 0.0641000044882645 -0.0723197679332631 0.0230129552619356
"cell_46" 5.89724047456627 1.34941836106336 0.430931674345486 0.0647181253344859 0.022584858201938 1.48656814835709 0.522956369945097 0.635037055831371 0.0511165037561513 0.068682670201791 -0.0649066006529914 0.0209126938522388
"cell_47" 5.88912383300277 1.37392563023554 0.447172124326165 0.0847629371659462 0.0255209655423231 1.5180650616257 0.563000674374505 0.658674332995467 0.0494688621868477 0.0674830874665115 -0.0648965628021431 0.0419085342379409
"cell_48" 5.87903250147047 1.39838649243614 0.455074701611448 0.0953101648117528 0.0429800217841685 1.55363938535215 0.602056798152649 0.665872869312729 0.05074698538495 0.0723004011179871 -0.0653511189683457 0.0614871355252234
"cell_49" 5.86786663237045 1.42811278981993 0.4736784719564 0.110256625954058 0.052068896891062 1.58022022269849 0.624001522783529 0.702177093666803 0.0303067492026103 0.0821260652937615 -0.064143757794522 0.0695407019377056
"cell_50" 5.87784427119451 1.42997652988753 0.494528591000035 0.111168737620525 0.0614799041065251 1.59558785342092 0.65728967587605 0.731591034398882 0.00803673110383788 0.0903749254512534 -0.0712218977429611 0.0777288337140817
"cell_51" 5.86040590666695 1.45181391048265 0.523439926553413 0.0880753774841851 0.05786122697236 1.62205585928029 0.679934069329219 0.747588744407818 0.0275527936822735 0.0861812245411956 -0.0536785894442025 0.0715631590370997
"cell_52" 5.85318761595462 1.49191510478912 0.567545218745785 0.0920467055347707 0.0506657444369678 1.65063776393377 0.715332314727648 0.772498957956475 0.0313573349515752 0.0693137029335787 -0.0435107188987689 0.0662179598411725
"cell_53" 5.85403874722544 1.51220557411876 0.589173167420425 0.101134792603987 0.0665618655993986 1.66544881611587 0.74116913454844 0.808697769194774 0.023309889914926 0.0883197693666178 -0.0401961926170613 0.0790100273956783
